Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1966,-42.1,-42.4,-24,-7.4,6.2,16.6,16.5,14.2,4.5,-8.7,-31.8,-38,-11.4
1967,-41.4,-37.1,-24,-6.8,5.8,16.5,19.2,13.6,4.4,-5.4,-29,-40,-10.4
1968,-44.4,-31.4,-16.8,-0.2,7.8,15.6,18.3,14.4,6,-7.3,-31.1,-40.6,-9.1
1969,-41.9,-44.1,-26.1,-9.2,6.5,14.5,18.4,18,3.1,-7.6,-31.3,-42.7,-11.9
1970,-42.1,-35.6,-22,-7.1,3.9,13.5,21.9,13.2,7.3,-12,-28.8,-42,-10.8
1971,-43.2,-37.6,-21.2,-7.5,8.7,16.4,19.6,14.8,6.9,-6,-27.1,-39.2,-9.6
1972,-47.1,-37.6,-22.4,-4.7,5.2,13.2,18.6,12.8,6.2,-6.5,-33.2,-39,-11.2
1973,-37,-34.9,-22.2,-9.3,8.8,16.9,21.1,16.8,7.8,-7.9,-33.7,-40.9,-9.5
1974,-38.5,-38.4,-23.6,-5,8.7,13.9,18.9,14.7,5.8,-10.1,-29.3,-42.3,-10.4
1975,-38.5,-38.2,-16.8,-3.3,9.4,18.1,17,13.3,5.4,-6.9,-27.2,-32.6,-8.4
1976,-39.3,-36.9,-22.5,-2.4,6.3,15,17.1,15.8,6.5,-9,-31.5,-39.9,-10.1
1977,-41.1,-38.7,-23.3,-6.8,8.9,16.7,16.9,13.7,3.9,-12.3,-31.2,-38.9,-11
1978,-44.6,-34.4,-20.1,-1.8,5.2,15.5,16.9,15.9,5.1,-7.8,-22,-42.2,-9.5
1979,-43.7,-36.6,-25.9,-6.6,7.2,14.2,16.1,13.7,4.6,-12.8,-33.4,-34.6,-11.5
1980,-36.7,-35.1,-24.4,-8.7,5.4,15,21.8,16.8,4.8,-8.4,-30.5,-34.9,-9.6
1981,-36.8,-34.1,-23.1,-5,7.2,16.1,19.3,14.5,3.9,-8.6,-30.4,-36.5,-9.5
1982,-43.1,-34.8,-23.6,-5,7.5,13.4,19.4,12.7,5.6,-13.5,-36.6,-41.3,-11.6
1983,-40.6,-37.7,-18,-6.1,7.9,16,19,17.4,10.9,-9.3,-20.8,-37.9,-8.3
1984,-35.8,-36,-21.5,-4.2,9.8,14.1,19.1,12.8,4,-11.8,-30,-40,-10
1985,-43.7,-34,-21.6,-4.1,7.5,15.8,18.1,14.9,6.6,-8.5,-26.1,-38.5,-9.5
1986,-41,-34.4,-20.5,-6.7,4.8,16.9,19.9,16.4,6.3,-6.6,-29.3,-39.1,-9.4
1987,-45,-33.6,-22.5,-7.6,3,14.5,18.6,15.7,4.1,-9.9,-31.8,-43.1,-11.5
1988,-41.3,-34.1,-20.9,-4.9,8.4,16.9,21.2,13.3,7.2,-4.7,-24.3,-31.9,-7.9
1989,-39.2,-29.5,-14.6,-6.3,7,15.4,18.1,13.8,5.4,-11.3,-27.7,-34.3,-8.6
1990,-42.4,-35.9,-12,-5.3,9.8,17.4,17.1,16.8,4.4,-4.3,-28.3,-34.9,-8.1
1991,-32,-35.8,-22.4,-4.3,6.9,14.2,20.9,16.8,5,-8.6,-26.9,-34.5,-8.4
1992,-39.5,-32.3,-20.9,-3.6,7.6,17,18.8,14.2,6.5,-5.3,-32,-35.4,-8.7
1993,-32.4,-32.1,-21.3,-9.4,6.6,15.9,19.7,14.8,6,-7.9,-28.4,-41.6,-9.2
1994,-45,-34.2,-19.9,-5.3,8,14.4,17.4,14.4,7.2,-4.7,-26.5,-40.4,-9.6
1995,-35.8,-27.4,-22.5,-6.2,6.6,18.4,18.4,15.3,5.8,-3.8,-26.3,-33.8,-7.6
1996,-38.4,-32.1,-21.9,-5.2,7.1,17.2,18.9,13.3,5.7,-6.2,-25,-39.3,-8.8
1997,-37.1,-32.1,-22,-2.6,9.1,15.2,20,17.3,4.9,-5.5,-24.9,-40,-8.1
1998,-39.3,-30.3,-21.1,-6,5,20.2,22,18.2,5.1,-9.7,-28.8,-39.7,-8.7
1999,-33.3,-34,-25.3,-5.8,7.5,16.7,20,13.2,6.4,-9.1,-28.7,-34.9,-8.9
2000,-36.9,-32.5,-20.6,-2.6,7.9,16.2,19,14.8,5.4,-10.7,-30.2,-39.3,-9.1
2001,-38.8,-37.5,-19.5,-7.2,8.1,16.1,23,14.9,3.5,-7.7,-23,-36.2,-8.7
2002,-36.5,-29.1,-18.3,-3.1,8.3,18.3,19.7,16.7,6.6,-8.1,-25,-40.4,-7.6
2003,-39.3,-33.6,-15.2,-3.9,5,14.4,21.5,16.6,7.5,-7.1,-28.2,-34.2,-8
2004,-38.8,-36.6,-20,-4.5,6.2,13.7,18.8,13.8,6.9,-11.1,-22.6,-43.8,-9.8
2005,-39.5,-35.2,-21.1,-0.5,8.6,17.5,18.8,13.9,9.4,-8.8,-20.3,-35.1,-7.7
2006,-42.9,-35.4,-21.1,-3.7,7.4,17.3,18.7,15.9,7,-8.3,-25.4,-35.4,-8.8
2007,-34,-36.5,-18.6,-1.7,9,16.4,16.7,16.7,7,-4.9,-25.6,-32.5,-7.3
2008,-37.7,-31,-13.2,-5.8,9.7,19.5,20.4,16.7,5.5,-3.7,-26.5,-40,-7.2
2009,-34,-37.2,-18.8,-3.3,7.6,19.5,20.6,15.2,7.8,-5.3,-28.7,-36.1,-7.7
2010,-36.7,-33.5,-20.4,-4.7,9.7,16.8,21.9,16.2,5.4,-7.8,-22.7,-37.1,-7.7
2011,-36.5,-35.1,-15.4,-2.1,9.5,16.1,22.5,17.4,3.8,-5.1,-26.5,-36.1,-7.3
2012,-34.6,-33.4,-22.3,-4.4,9.6,19.3,21,14.5,8.2,-7.4,-28.6,-35.5,-7.8
2013,-40.2,-33.4,-20,-3,10.2,17.6,18.6,16,6,-5.2,-24.8,-30.2,-7.4
2014,-41.4,-32,-16.2,-0.1,9.8,17.3,20,16.2,5.6,-8.2,-25.3,-38.8,-7.8
2015,-33.8,-27.7,-16.3,-5.4,7.3,15.5,20.4,17.1,5.6,-7.1,-24.6,-34.3,-6.9
2016,-34.8,-35,-14.8,-0.1,7.6,16,18.1,13.4,6.9,-7.4,-26.5,-36.9,-7.8
2017,-33.8,-31.1,-10.8,-0.7,6.6,18.8,19.4,17.6,7.5,-6.9,-29,-38.4,-6.7
2018,-37.1,-32.9,-20.7,-2.5,9.8,17.3,20.2,16.8,6.2,-4,-23.1,-33.5,-7
2019,-35.7,-30.4,-17.6,-1.1,9,19.2,19.3,15.8,999.9,999.9,999.9,999.9,999.9
